Clone	Chrom	kb	kbGenome	MCF7	SKBR3
RP11-469L4	3	134435.749	624179.648	-0.046078	-0.307971
RP11-503I22	3	134514.771	624258.67	0.097173	-0.212035
RP11-91K8	3	134514.771	624258.67	0.058295	-0.290395
RP11-883M5	3	134607.974	624351.873	0.152436	-0.177744
RP11-124N24	3	134786.143	624530.042	0.094316	-0.296567
RP11-404G16	3	134797.549	624541.448	0.124217	-0.286938
RP11-57D18	3	135458.813	625202.712	-0.011978	NA
RP11-445J14	3	135542.836	625286.735	0.355616	-0.180432
RP11-230A12	3	135604.534	625348.433	0.027016	NA
RP11-22E12	3	135845.509	625589.408	0.082968	-0.28498
RP11-49C18	3	135848.644	625592.543	-0.229539	NA
RP11-452H12	3	135943.465	625687.364	-0.04956	-0.217083
RP11-561L3	3	136012.76	625756.659	-0.058023	-0.383205
RP11-207J1	3	136026.235	625770.134	-0.041307	0.038762
CTD-2002E6	3	136234.076	625977.975	-0.055769	-0.458334
RP11-512B5	3	136287.467	626031.366	6.1E-05	-0.267833
RP11-91O5	3	136301.962	626045.861	0.043633	NA
RP11-756L14	3	136678.108	626422.007	0.197421	-0.145558
RP11-237P21	3	136749.326	626493.225	0.197164	NA
RP11-709D19	3	136924.11	626668.009	-0.15401	-0.235359
RP11-305O4	3	136981.607	626725.506	0.012643	-0.218918
RP11-463H24	3	136990.583	626734.482	0.294869	0.013927
RP11-181C6	3	137283.293	627027.192	0.306256	NA
CTC-231I23	3	137290.056	627033.955	NA	-0.565709
RP11-497L23	3	137375.09	627118.989	-0.372491	NA
RP11-102M11	3	137377.845	627121.744	0.252384	-0.248531
RP11-213F8	3	137444.455	627188.354	0.134871	0.025278
RP11-219P10	3	137444.455	627188.354	0.08485	-0.161663
RP11-197K1	3	137683.48	627427.379	0.115884	NA
RP11-59A8	3	137729.413	627473.312	-0.079634	NA
RP11-487D12	3	137901.981	627645.88	0.031855	NA
RP11-85F14	3	137901.981	627645.88	0.031953	-0.197678
RP11-384O14	3	137901.981	627645.88	0.043249	-0.308517
RP11-13I22	3	138073.478	627817.377	0.326408	-0.333059
RP11-575C1	3	138447.275	628191.174	-0.121921	-0.416388
RP11-179B14	3	138599.733	628343.632	-0.046697	NA
RP11-162J10	3	138742.354	628486.253	-0.030357	-0.385723
RP11-630C21	3	138800.59	628544.489	-0.940373	-0.418802
RP11-598P12	3	138857.603	628601.502	-0.070954	-0.330491
RP11-3E13	3	138921.797	628665.696	0.063378	-0.310646
RP11-461M2	3	138932.697	628676.596	0.063379	-0.295885
RP11-556L15	3	139163.975	628907.874	0.015016	-0.368963
RP11-278D22	3	139211.543	628955.442	0.089766	NA
RP11-80P20	3	139386.837	629130.736	0.003707	-0.10675
RP11-87O3	3	139412.615	629156.514	-0.014561	-0.257319
RP11-77D13	3	139532.654	629276.553	0.019316	-0.217544
RP11-112O24	3	139536.419	629280.318	0.038803	-0.1382435
RP11-79L9	3	139574.53	629318.429	-0.507162	-0.240465
RP11-85A3	3	139694.608	629438.507	0.09204	-0.401433
RP11-27H1	3	139695.139	629439.038	0.064466	-0.134191
CTB-138N2	3	139695.139	629439.038	NA	NA
RP11-117F22	3	139809.211	629553.11	0.131139	-0.137208
CTC-353O8	3	139809.211	629553.11	0.0200545	-0.173122
RP11-548O1	3	139918.364	629662.263	0.238978	-0.269144
RP11-771O11	3	139930.683	629674.582	0.065182	-0.290788
RP11-771N9	3	140016.704	629760.603	-0.028475	-0.14851
RP11-306L14	3	140148.305	629892.204	0.0358	-0.288845
RP11-219D15	3	140295.285	630039.184	-0.103985	0.649302
BAC-91N10	3	140305.049	630048.948	0.091222	0.748591
CTD-2288O20	3	140355.354	630099.253	0.004916	0.68261
CTC-328J9	3	140483.269	630227.168	0.020526	NA
RP11-319G6	3	140492.866	630236.765	0.125572	0.868351
RP11-349D24	3	140492.866	630236.765	0.000499	0.821108
CTD-2385H7	3	140512.67	630256.569	-0.0297535	0.6660465
RP11-553K23	3	140547.918	630291.817	0.301864	0.797094
RP11-442N1	3	140714.868	630458.767	0.203247	0.73331
RP11-166D18	3	140780.826	630524.725	0.078774	0.759161
RP11-35D21	3	140954.106	630698.005	-0.160318	0.769713
RP11-316C10	3	142474.207	632218.106	-0.124722	NA
RMC03P068	3	143663.252	633407.151	0.144046	-0.174481
RP11-160A13	3	144088.365	633832.264	0.180357	-0.220407
RP11-165M11	3	144684.358	634428.257	-0.171367	-0.32873
RP11-72E23	3	146386.641	636130.54	-0.079634	-0.326656
CTD-2222H2	3	149780.867	639524.766	0.413003	-0.207095
RP11-229G6	3	150128.021	639871.92	0.355962	-0.246567
RP11-145F16	3	151346.686	641090.585	0.341287	-0.11425
RP11-64F6	3	152252.176	641996.075	0.376319	0.089178
RP11-65L11	3	152627.1	642370.999	0.094291	1.40755
RP11-80I14	3	153429.109	643173.008	0.150576	0.04317
RP11-91L9	3	159609.906	649353.805	0.197949	0.208399
RP11-209H21	3	160564.633	650308.532	0.045806	0.352306
RP11-203L15	3	161882.868	651626.767	0.080063	0.403001
RP11-198G24	3	165127.94	654871.839	0.048957	0.266154
RP11-264D7	3	168514.415	658258.314	0.189615	0.024434
RP11-24L16	3	169530.924	659274.823	0.180233	NA
RP11-1146E5	3	170126.759	659870.658	NA	-0.412931
RP11-627P8	3	170126.904	659870.803	0.240589	-0.389389
RP11-816J6	3	170187.798	659931.697	0.239938	0.753764
RP11-141C22	3	170244.007	659987.906	0.191119	-0.239752
GS-115H3	3	171026.445	660770.344	-0.228621	0.648505
BAC-80J1	3	171446.09	661189.989	-0.000878	-0.202313
BAC-117A2	3	171472.454	661216.353	0.1757605	-0.0952745
BAC-51J5	3	171572.281	661316.18	0.0197145	0.791665
BAC-121O1	3	171691.22	661435.119	NA	-0.125198
BAC-35M17	3	171691.22	661435.119	-0.093292	0.365365
BAC-131B9	3	171913.819	661657.718	-0.112269	0.391791
BAC-139K18	3	171920.878	661664.777	0.098713	NA
BAC-191E5	3	171927.116	661671.015	-0.170923	0.390442
CTC-222G9	3	171961.048	661704.947	0.304522	0.712979
BAC-403B21	3	171987.594	661731.493	3.495571	0.52499
RMC03P008	3	172035.049	661778.948	0.236819	0.725653
BAC-383G21	3	172035.049	661778.948	-0.035995	0.660463
RP11-163H6	3	173130.534	662874.433	NA	0.652089
RP11-196F13	3	173518.452	663262.351	0.0072	0.811116
RP11-172G5	3	174406.67	664150.569	-0.104734	-0.252513
RP11-148D23	3	174686.842	664430.741	-0.206407	-0.312099
RP11-114M1	3	178593.776	668337.675	0.063598	-0.23532
RP11-245C23	3	180151.324	669895.223	-0.014258	0.247849
CTC-364E3	3	180237.517	669981.416	0.224013	0.035892
CTB-364E3	3	180237.517	669981.416	-0.018096	0.38013
RP1-97B16	3	180272.87	670016.769	-0.056627	0.297866
RP11-118F4	3	180749.057	670492.956	0.006951	0.44234
RP11-125E8	3	185297.336	675041.235	0.213301	0.416282
CTD-2172D17	3	185406.196	675150.095	0.239457	0.563426
RMC03P051	3	188707.765	678451.664	0.556739	0.569398
RMC03P061	3	188760.139	678504.038	-0.061893	0.681165
CTD-2091K6	3	188760.139	678504.038	0.075005	0.902764
RP11-67E18	3	189756.972	679500.871	-0.014522	0.295092
RP11-53D15	3	190983.021	680726.92	0.050524	0.612372
RP11-54L9	3	191164.731	680908.63	-0.038241	0.829703
RP11-88M1	3	192998.188	682742.087	-0.34494	-0.019347
RP11-101H7	3	193180.638	682924.537	-0.211364	0.336255
RP11-10O11	3	196916.756	686660.655	-0.30132	0.280018
RP11-233N20	3	198342.644	688086.543	0.201475	0.376559
GS1-56H22	3	199344.05	688987.949	0.211747	0.400936
RP11-69L7	4	752.619	689840.568	-0.259935	-0.70288
RP11-20I20	4	1082.846	690170.795	-0.235604	-0.729404
RP11-572O17	4	1757.261	690845.21	-0.410694	-0.565804
CTD-2224I19	4	1864.457	690952.406	-0.072089	-0.537868
RMC04P002	4	2997.112	692085.061	-0.503259	-0.483299
RP11-492I23	4	3349.22	692437.169	-0.394152	-0.745513
RP11-237C24	4	4485.056	693573.005	NA	-0.874499
RP11-91B20	4	4858.793	693946.742	-0.182208	-0.661004
RP11-7A6	4	4935.543	694023.492	-0.181375	-0.744294
RP11-97H19	4	6826.46	695914.409	-0.11883	NA
RP11-101J14	4	8170.958	697258.907	-0.190618	-0.68967
RP11-17I9	4	9756.142	698844.091	-0.235136	-0.989349
RP11-34C20	4	11084.999	700172.948	-0.177928	-0.797147
RP11-171P21	4	15196.117	704284.066	-0.171131	-0.821644
RP11-79N22	4	18622.375	707710.324	-0.260981	-0.777707
RP11-11M9	4	19187.847	708275.796	-0.2247285	-0.8248705
RP11-238L9	4	20414.563	709502.512	-0.254896	-0.833582
RP11-35E16	4	23295.062	712383.011	-0.166979	-0.646234
RP11-276O17	4	23986.049	713073.998	-0.14379	-0.581415
RP11-118C24	4	25330.686	714418.635	-0.109671	-0.773037
RP11-119N7	4	25834.81	714922.759	-0.22867	-0.71343
RP11-239C17	4	26142.352	715230.301	-0.150097	-0.877306
RP11-194B9	4	28103.517	717191.466	-0.355468	-0.53312
RP11-210B2	4	28679.737	717767.686	-0.236057	NA
RP11-53F2	4	29421.866	718509.815	-0.21039	-0.647294
RP11-266E24	4	30263.561	719351.51	-0.151976	-0.73157
RP11-205N12	4	30469.097	719557.046	-0.333513	-0.619246
RP11-53F9	4	30613.868	719701.817	NA	NA
RP11-180G13	4	30740.939	719828.888	NA	-0.709239
RP11-176I4	4	33161.575	722249.524	-0.220403	-0.788295
RP11-85B10	4	35526.551	724614.5	-0.371454	NA
RP11-24G16	4	38052.83	727140.779	-0.178205	-0.55467
RP11-126C7	4	38161.907	727249.856	-0.334523	-0.750351
RP11-38M16	4	40213.576	729301.525	-0.049172	-0.710672
RP11-138F23	4	40749.329	729837.278	-0.037495	-0.709669
RP11-264N7	4	41276.986	730364.935	-0.247964	-0.765709
RP11-113F10	4	42338.022	731425.971	-0.19548	-0.812732
RP11-253O5	4	44473.912	733561.861	-0.244826	-0.820248
RP11-105F21	4	44739.336	733827.285	-0.280798	-0.716043
RP11-42A17	4	45819.164	734907.113	-0.205985	-0.653722
RP11-238D1	4	45842.615	734930.564	-0.188624	-0.726367
RP11-121C2	4	47679.075	736767.024	-0.133033	-0.701704
CTD-2271B13	4	48053.342	737141.291	-0.147985	-0.705944
RP11-232D21	4	48102.253	737190.202	-0.263085	-0.673966
RP11-72P14	4	48340.013	737427.962	-0.203649	-0.647622
RP11-109P3	4	48340.013	737427.962	-0.19128	-0.796415
RP11-32K21	4	52945.291	742033.24	-0.26574	0.174364
RP11-210D19	4	53294.113	742382.062	-0.189075	0.104281
RP11-98G22	4	54687.603	743775.552	-0.031122	0.177483
RP11-231C18	4	55010.743	744098.692	-0.369691	0.1207
GS-619B4	4	55010.743	744098.692	-0.109996	0.031597
RP11-80L11	4	55110.507	744198.456	-0.269339	0.160858
RP11-135H2	4	56461.806	745549.755	-0.074132	0.127525
RP11-7J22	4	57176.625	746264.574	-0.177818	0.048237
CTD-2228F16	4	66193.025	755280.974	-0.350596	-0.027303
RP11-63E13	4	66603.932	755691.881	-0.278133	0.182278
RP11-234L24	4	67754.588	756842.537	-0.080832	0.030266
RP11-111K19	4	68455.999	757543.948	-0.235396	0.003554
RP11-121P15	4	71696.275	760784.224	-0.238434	0.04624
RP11-155P6	4	74423.713	763511.662	NA	0.031939
RMC04P009	4	74736.256	763824.205	NA	-0.110766
RP11-447E20	4	75075.381	764163.33	-0.40618	0.036016
RP11-88J6	4	75202.753	764290.702	-0.275646	0.051848
RP11-69P19	4	75203.706	764291.655	-0.055393	0.116036
RP11-78K8	4	75319.933	764407.882	-0.178278	NA
CTD-2103L3	4	75330.71	764418.659	-0.213611	NA
CTD-2110E3	4	75331.093	764419.042	-0.17246	0.105186
RP11-19B4	4	75369.104	764457.053	-0.368214	0.010477
CTD-2074K5	4	75429.006	764516.955	-0.242415	0.050784
RP11-2G10	4	75429.008	764516.957	-0.61243	0.053205
RP11-727M10	4	75697.11	764785.059	-0.393009	0.093324
RP11-144I19	4	76596.58	765684.529	-0.162209	0.120694
RP11-105F22	4	77399.97	766487.919	-0.010343	0.168724
RP11-17P19	4	79323.934	768411.883	-0.053414	0.127711
RP11-221M10	4	80785.901	769873.85	-0.206086	0.028939
RP11-121P22	4	81666.227	770754.176	-0.161733	0.128823
RP11-67G24	4	82881.976	771969.925	-0.290392	0.098544
RP11-131O10	4	83433.244	772521.193	-0.155446	0.054308
RP11-11P12	4	84059.021	773146.97	NA	NA
RP11-7G22	4	84624.825	773712.774	-0.041196	0.255732
RP11-36G19	4	85427.731	774515.68	-0.203011	0.013051
RP11-31I17	4	86766.686	775854.635	-0.268987	0.126283
RP11-120B2	4	87369.149	776457.098	-0.16092	0.112494
RP11-130O10	4	87738.47	776826.419	-0.274412	0.13462
CTC-205I10	4	87974.279	777062.228	-0.073992	0.132905
CTD-2078H8	4	88515.627	777603.576	NA	-0.199177
RP11-203P12	4	88521.738	777609.687	-0.066644	0.208061
CTD-2210H12	4	89387.214	778475.163	-0.407046	0.343093
RP11-17P8	4	89863.725	778951.674	-0.135994	0.391531
RP11-36K8	4	90433.409	779521.358	-0.17292	0.249701
RP11-132F20	4	90591.168	779679.117	-0.179693	0.243813
RP11-49M7	4	91473.877	780561.826	-0.291188	NA
RP11-221M14	4	91710.243	780798.192	-0.06444	0.246687
RP11-115O16	4	94192.826	783280.775	NA	0.243872
RP11-16I17	4	94902.24	783990.189	-0.141221	0.202018
RP11-21O14	4	97134.778	786222.727	-0.251847	0.334042
RP11-144B4	4	98738.425	787826.374	-0.153923	0.210776
BAL04B2608	4	99766.981	788854.93	-0.411346	-0.110178
RP11-203M9	4	99792.286	788880.235	-0.084662	NA
RP11-85I10	4	100687.28	789775.229	-0.124663	0.341157
RP11-183B1	4	101566.706	790654.655	-0.255023	0.273604
RP11-42H6	4	111671.168	800759.117	-0.121831	0.32844
CTD-2086L13	4	112154.575	801242.524	-0.262809	0.328983
RP11-18D18	4	112723.909	801811.858	-0.152673	0.037784
RP11-119K21	4	115226.845	804314.794	-0.20822	0.199336
RP11-6K22	4	120384.124	809472.073	-0.096108	0.29611
RP11-18F11	4	120417.078	809505.027	-0.128729	0.218279
RP11-101N17	4	120664.391	809752.34	-0.158153	0.106413
RP11-26M17	4	121198.415	810286.364	-0.186515	-0.009552
CTB-159E10	4	123197.345	812285.294	NA	-0.248146
RP11-204C12	4	123197.374	812285.323	-0.767825	-0.160873
RP11-100E15	4	124057.934	813145.883	-0.127003	-0.265333
RP11-32D22	4	124066.292	813154.241	-0.101526	-0.143453
RP11-27C19	4	124747.821	813835.77	-0.154285	-0.212148
RP11-52O3	4	128591.634	817679.583	-0.286729	-0.182021
RP11-11P20	4	128975.96	818063.909	-0.155967	-0.180967
RP11-14N24	4	131151.452	820239.401	-0.212103	0.051128
RP11-149A7	4	133903.576	822991.525	-0.264501	-0.30702
RP11-94J9	4	134573.946	823661.895	-0.249353	-0.306197
RP11-218I24	4	138349.7	827437.649	NA	-0.258752
RP11-53C1	4	139759.14	828847.089	-0.229998	-0.303597
RP11-128J2	4	139993.646	829081.595	-0.155648	-0.204386
RP11-22O8	4	141248.917	830336.866	-0.114027	-0.110611
RP11-26D15	4	141308.504	830396.453	-0.187477	-0.069627
RP11-57D15	4	141727.164	830815.113	-0.109434	0.036948
RP11-5K16	4	142054.039	831141.988	-0.221558	-0.154433
RP11-79E2	4	143221.517	832309.466	-0.152117	-0.202038
CTD-2270J14	4	144835.893	833923.842	0.102002	-0.096856
RP11-58H15	4	144841.06	833929.009	-0.089497	-0.196486
RP11-122I3	4	145023.183	834111.132	-0.123248	-0.116982
RP11-33C6	4	145375.719	834463.668	-0.048828	-0.095526
RP11-82L8	4	145375.719	834463.668	-0.141956	-0.127835
RP11-47P10	4	145550.84	834638.789	-0.191128	-0.179706
RP11-134L22	4	147168.505	836256.454	-0.196244	-0.243788
RP11-210F12	4	147356.873	836444.822	NA	NA
RP11-180J5	4	148000.113	837088.062	-0.166953	-0.226504
RP11-218A2	4	152620.171	841708.12	0.081148	-0.074247
RP11-77F4	4	152715.529	841803.478	0.019469	-0.10652
RP11-101A21	4	152942.288	842030.237	-0.078898	-0.130875
RP11-73G16	4	153405.854	842493.803	-0.148839	-0.080861
RP11-119B13	4	155127.213	844215.162	-0.226327	-0.118504
RP11-84M15	4	155826.094	844914.043	-0.216192	-0.242343
RP11-93I2	4	156061.335	845149.284	-0.26169	-0.257688
RP11-231J7	4	158729.513	847817.462	-0.062972	-0.173884
RP11-27H11	4	160183.499	849271.448	-0.148187	-0.168645
RP11-41G4	4	163265.511	852353.46	-0.121525	-0.295802
RP11-177L7	4	165405.126	854493.075	-0.132916	-0.376603
RP11-51H8	4	168853.779	857941.728	NA	NA
RP11-199O10	4	169421.656	858509.605	-0.121199	-0.268814
RP11-130I2	4	169973.776	859061.725	-0.035992	-0.184905
RP11-254A7	4	170539.061	859627.01	-0.106273	NA
RP11-272N13	4	172998.669	862086.618	-0.029619	-0.269146
RP11-119J20	4	173699.937	862787.886	-0.297271	-0.325917
RP11-110O14	4	174952.357	864040.306	NA	NA
RP11-189F4	4	175400.357	864488.306	-0.098276	-0.30979
RP11-182G5	4	176384.029	865471.978	-0.122053	-0.289715
RP11-122D8	4	178299.189	867387.138	-0.209522	-0.275944
RP11-313E19	4	178300.749	867388.698	0.042326	NA
RP11-140M13	4	179290.6	868378.549	-0.251709	-0.220267
RP11-272O3	4	179302.055	868390.004	-0.138949	-0.323876
RP11-171G12	4	181898.251	870986.2	-0.147121	-0.181099
RP11-244K2	4	183089.958	872177.907	-0.656192	-0.33554
RP11-125M9	4	183250.216	872338.165	-0.406865	-0.288022
RP11-85P1	4	184648.171	873736.12	-0.294223	-0.17974
RP11-196K13	4	185332.385	874420.334	-0.381989	-0.301452
RP11-243D3	4	185541.811	874629.76	-0.251305	-0.281928
RP11-256M13	4	185846.945	874934.894	-0.282302	-0.215638
RP11-326I11	4	186002.812	875090.761	-0.384082	-0.221319
CTD-2100H15	4	186004.804	875092.753	-0.39306	-0.108929
RP11-267E24	4	186281.867	875369.816	-0.168401	-0.123894
RP11-228F3	4	186349.029	875436.978	NA	-0.134502
RP11-203L17	4	186965.39	876053.339	-0.257235	-0.117028
RP11-159A22	4	187141.603	876229.552	-0.274783	-0.455179
RP11-262I1	4	187703.402	876791.351	-0.346636	-0.304014
RP11-178C12	4	188203.994	877291.943	-0.485866	-0.306933
RP11-237D3	4	188988.289	878076.238	-0.247989	-0.222516
GS1-31J3	4	191731.959	880719.908	-0.437332	-0.248236
RP11-94J21	5	1477.995	882297.903	0.077918	0.392682
RP11-20B3	5	3055.08	883874.988	0.161642	0.195752
RP11-82M24	5	3449.234	884269.142	-0.034001	0.259823
RP11-103L11	5	3816.063	884635.971	-0.115634	0.192145
RP11-227M19	5	3994.602	884814.51	0.018822	0.218945
RP11-58A5	5	4965.441	885785.349	-0.054199	0.249446
RP11-46O23	5	7386.867	888206.775	NA	0.196619
RP11-145B1	5	10279.122	891099.03	0.199218	0.409601
RP11-72C10	5	10745.923	891565.831	0.33113	0.539709
RP11-29N3	5	11435.333	892255.241	0.15629	0.358386
CTD-2040C2	5	14562.76	895382.668	0.299796	-0.213019
RP11-5N8	5	14926.587	895746.495	0.398626	-0.288671
RP11-135M13	5	15627.043	896446.951	0.150744	0.236692
RP11-261B20	5	15871.423	896691.331	0.257615	0.3196275
RP11-260E18	5	16623.17	897443.078	0.234765	0.391711
RP11-269O14	5	16683.869	897503.777	0.285167	0.314607
RP11-88L18	5	17465.157	898285.065	0.152487	0.317785
RP11-5N11	5	31667.2	912487.108	0.174291	0.504268
RP11-67P13	5	32067.528	912887.436	0.10332	0.198266
RP11-36A10	5	36088.054	916907.962	-0.030676	0.252742
RP11-253B9	5	37904.901	918724.809	-0.054651	0.369679
CTD-2076O2	5	38525.405	919345.313	0.1831875	0.2647035
RP11-9G14	5	41329.415	922149.323	-0.091701	0.317201
RP11-160F8	5	53345.363	934165.271	-0.046383	-0.374203
RP11-17H13	5	54222.746	935042.654	0.097224	-0.429509
RP11-143O12	5	55755.879	936575.787	0.107208	-0.28774
RP11-22L20	5	55905.288	936725.196	0.226986	-0.083731
RP11-47P7	5	56283.404	937103.312	0.149312	-0.282221
RP11-190C5	5	57584.871	938404.779	-0.050582	NA
RP11-59G13	5	57985.032	938804.94	0.082706	-0.42116
RP11-19I19	5	58769.363	939589.271	-0.080977	-0.401035
RP11-174I22	5	62918.977	943738.885	-0.12246	-0.334925
CTD-2006C10	5	64806.368	945626.276	-0.108921	-0.367823
RP11-87D20	5	66058.662	946878.57	0.013333	-0.45397
RP11-15P2	5	66185.377	947005.285	0.155916	-0.270804
RP11-40N8	5	67254.574	948074.482	0.152753	0.039914
CTB-134O19	5	67609.883	948429.791	0.100095	-0.457165
RP11-267K19	5	67819.104	948639.012	0.065048	-0.325349
CTD-2113P14	5	68478.878	949298.786	0.06192	-0.213064
RP11-172K14	5	74611.746	955431.654	0.020671	-0.367499
RP11-62D9	5	76314.019	957133.927	0.163993	-0.26077
RP11-1H14	5	77844.495	958664.403	0.109806	-0.357928
RP11-1E10	5	78971.483	959791.391	NA	-0.43342
RP11-538B23	5	80060.668	960880.576	0.570571	-0.396773
RP11-47N20	5	81387.652	962207.56	0.099021	-0.510954
RP11-207B2	5	81757.103	962577.011	0.086661	-0.340407
RP11-275E14	5	82850.994	963670.902	0.00816	-0.412389
RP11-204D12	5	95881.262	976701.17	-0.034687	-0.340822
RP11-203J7	5	102728.762	983548.67	-0.051663	-0.355954
RP11-115L24	5	103124.177	983944.085	0.093639	-0.419223
RP11-277N18	5	106610.54	987430.448	-0.165974	-0.359359
RP11-252I13	5	107005.164	987825.072	-0.020993	-0.533303
CTD-2079J2	5	108552.279	989372.187	-0.108931	-0.345594
RP11-13O21	5	111718.311	992538.219	0.023981	-0.290475
CTC-317F16	5	112256.093	993076.001	0.037955	-0.247321
CTD-2141B2	5	112437.744	993257.652	0.32175	-0.346207
RP11-64F17	5	112761.227	993581.135	0.021429	-0.456798
RP11-58G19	5	113712.029	994531.937	0.08101	-0.41003
RP11-81C5	5	115231.363	996051.271	0.07683	-0.37359
RP11-73N22	5	117063.732	997883.64	-0.040615	-0.479514
RP11-15P5	5	120387.024	1001206.932	-0.118961	-0.279639
RP11-265M23	5	122553.925	1003373.833	0.174	NA
RP11-209F21	5	124962.097	1005782.005	0.028823	-0.355302
RP11-42M12	5	127225.184	1008045.092	NA	-0.396046
RP11-45L19	5	128228.915	1009048.823	-0.014307	-0.44523
CTD-2004C12	5	131375.348	1012195.256	NA	-0.595254
RMC05P007	5	131895.594	1012715.502	0.746521	-0.680801
CTD-2025J21	5	131958.034	1012777.942	0.118621	-0.211998
CTD-2141C20	5	133557.724	1014377.632	0.181725	-0.694355
CTD-2068D11	5	133670.44	1014490.348	0.08292	-0.319808
RP11-21C10	5	133928.39	1014748.298	0.199466	-0.495272
RP11-21J3	5	134471.373	1015291.281	NA	-0.876285
RP11-233E5	5	137654.512	1018474.42	0.334439	-0.196367
CTD-2113L13	5	137697.174	1018517.082	0.355447	-0.31013
RP1-98O22	5	137880.928	1018700.836	0.203888	-0.10071
RP11-115I4	5	139880.471	1020700.379	0.197538	0.361784
RP11-55M16	5	141079.306	1021899.214	0.226233	0.744372
RP11-14K13	5	141674.773	1022494.681	0.175788	0.67451
RP11-216N13	5	147258.402	1028078.31	-0.04874	0.043732
RP11-109G16	5	147258.402	1028078.31	0.152105	0.005212
RP11-82P23	5	148395.839	1029215.747	0.096039	0.793492
RP1-141L3	5	149461.742	1030281.65	0.168641	0.907321
CTD-2202A14	5	149772.856	1030592.764	0.389736	0.03913
RP11-128C13	5	150065.384	1030885.292	NA	0.152882
CTD-2118L22	5	151112.099	1031932.007	0.105267	0.702599
RP11-109B15	5	151600.66	1032420.568	NA	0.595191
RP11-86C20	5	152666.925	1033486.833	0.095776	NA
RP11-170L13	5	155172.274	1035992.182	0.062165	-0.098293
RP11-31B18	5	155638.073	1036457.981	-0.16593	-0.127669
CTC-248O19	5	156660.646	1037480.554	0.316675	NA
RP11-4J6	5	158183.416	1039003.324	0.050564	0.59696
RP11-90N23	5	159866.477	1040686.385	0.096018	NA
RP11-210K16	5	160719.698	1041539.606	0.135427	-0.0759
RP11-94L2	5	163302.415	1044122.323	0.048473	0.432801
RP11-35O10	5	166976.522	1047796.43	-0.055365	-0.032094
RP11-14K9	5	168406.771	1049226.679	0.035565	0.037766
RP11-15F10	5	169121.756	1049941.664	0.384772	0.052611
RP11-182E4	5	170150.9	1050970.808	0.301615	0.114327
RP11-9I14	5	171179.577	1051999.485	0.450592	0.21598
RP11-69A18	5	171198.133	1052018.041	0.480129	0.183068
RP11-779O18	5	172087.95	1052907.858	NA	0.037086
RP11-88L12	5	172573.872	1053393.78	0.639214	0.162774
RP11-105L4	5	172985.67	1053805.578	0.383339	0.198056
RP11-48K2	5	173000.936	1053820.844	0.37202	0.117531
RP11-125L2	5	173496.019	1054315.927	0.329205	0.0826
CTD-2272E5	5	174849.279	1055669.187	0.111378	0.331434
CTD-2262N19	5	176505.587	1057325.495	0.517067	0.063051
RP11-2I16	5	177771.847	1058591.755	0.522176	0.153839
RP11-51D11	5	179289.599	1060109.507	0.351449	0.092539
RP11-53P21	6	4285.213	1066140.043	0.160009	-0.653907
RP11-24N8	6	5617.862	1067472.692	0.007633	NA
RP11-168G4	6	6939.046	1068793.876	0.1651	-0.757491
RP11-1J24	6	7899.733	1069754.563	NA	0.543685
RP11-66E14	6	8798.647	1070653.477	0.069789	0.409711
RP11-126J14	6	13498.387	1075353.217	0.174191	0.540969
RP11-83B17	6	14557.159	1076411.989	0.225316	0.577057
RP11-113K20	6	15945.33	1077800.16	0.235137	0.389655
BAL19B2650	6	16005.867	1077860.697	0.0582855	0.5635235
CTD-2094H4	6	16407.322	1078262.152	NA	0.518848
RP11-88E14	6	16498.74	1078353.57	0.046133	0.584873
RP11-163E21	6	16761.167	1078615.997	0.090022	0.508553
RP11-22P23	6	17056.003	1078910.833	0.011646	0.570285
RP11-159C8	6	20442.776	1082297.606	0.083341	0.586697
CTD-2018P8	6	20510.376	1082365.206	0.218279	0.542105
RP11-3D15	6	21715.614	1083570.444	0.01052	0.544716
RP11-273J1	6	22030.456	1083885.286	0.048841	0.556675
RP11-53I19	6	23410.227	1085265.057	NA	0.424653
RP11-224B15	6	23689.545	1085544.375	0.037772	0.537119
RP11-52C20	6	23943.949	1085798.779	0.000243	0.518893
RP11-145M23	6	24851.393	1086706.223	0.165284	NA
CTD-2144B12	6	26195.426	1088050.256	0.073816	0.178131
RP11-2P4	6	27927.908	1089782.738	0.071695	-0.369494
CTD-2130B14	6	31649.618	1093504.448	0.157099	-0.207515
RP11-54H13	6	32633.341	1094488.171	0.097899	0.494289
RP11-119C22	6	33787.208	1095642.038	0.162783	0.420791
RP11-197P9	6	35198.89	1097053.72	0.23649	-0.084055
RP11-139J19	6	36312.368	1098167.198	0.174173	-0.143374
CTD-2075N6	6	36693.341	1098548.171	0.123287	-0.066983
CTD-2118F18	6	36693.341	1098548.171	0.320274	-0.187732
CTD-2122A15	6	37188.722	1099043.552	0.148287	-0.371111
RP11-174E21	6	37590.906	1099445.736	0.198169	-0.127405
RP11-136C6	6	39160.03	1101014.86	0.208107	-0.14481
RP11-133J6	6	39186.561	1101041.391	0.230179	-0.061966
RP11-105P7	6	40322.032	1102176.862	0.039209	NA
RP11-14G23	6	40339.928	1102194.758	-0.033506	-0.282344
RP11-10M23	6	43145.471	1105000.301	0.234207	-0.109306
RP11-91H14	6	43811.179	1105666.009	0.157242	-0.177636
RP11-121G20	6	44168.051	1106022.881	0.130184	NA
